node_a_id,node_b_id,weight
1,2,5
2,3,54
3,4,25
4,5,9
5,6,40
6,7,78
7,8,38
8,9,39
9,10,64
10,11,72
11,12,40
12,13,48
13,14,23
14,15,39
15,16,24
16,17,70
17,18,16
18,19,23
19,20,73
1,20,33
21,22,50
22,23,49
23,24,69
24,25,24
25,26,39
26,27,66
27,28,67
28,29,7
29,30,27
21,30,77
21,27,115
22,24,24
26,30,54
24,26,46
21,23,108
25,29,59
23,28,20
24,30,92
24,28,63
22,30,65
31,32,35
32,33,52
33,34,36
34,35,47
35,36,63
36,37,54
37,38,90
38,39,47
39,40,57
40,41,28
41,42,75
42,43,76
43,44,69
44,45,70
45,46,94
46,47,61
47,48,92
48,49,94
49,50,87
50,51,61
51,52,88
52,53,42
53,54,84
54,55,137
55,56,91
56,57,81
57,58,66
58,59,63
59,60,66
60,61,31
61,62,61
62,63,40
63,64,75
64,65,63
65,66,78
66,67,21
67,68,43
68,69,5
69,70,3
70,71,51
71,72,36
72,73,67
73,74,37
74,75,57
75,76,55
76,77,41
77,78,58
78,79,27
79,80,44
80,81,23
81,82,24
82,83,34
83,84,42
84,85,33
85,86,16
86,87,3
87,88,49
88,89,31
89,90,29
90,91,38
91,92,46
92,93,76
93,94,93
94,95,96
95,96,81
96,97,29
97,98,45
98,99,74
99,100,24
100,101,50
101,102,39
102,103,37
103,104,82
104,105,78
105,106,36
106,107,16
107,108,26
108,109,73
109,110,59
110,111,14
111,112,49
112,113,46
113,114,51
114,115,40
115,116,59
116,117,63
117,118,72
118,119,53
119,120,56
120,121,52
121,122,73
122,123,57
123,124,63
124,125,26
125,126,50
126,127,81
127,128,63
128,129,46
129,130,44
31,130,8
47,105,52
64,114,39
67,110,21
65,93,37
59,120,70
56,118,84
73,127,69
32,44,103
91,115,64
45,81,75
42,54,106
63,120,29
37,75,72
39,92,105
51,53,76
76,117,105
37,60,171
75,114,65
64,126,55
50,93,95
49,81,131
33,109,14
63,107,81
50,86,72
89,125,10
56,69,65
57,122,65
44,103,85
77,104,105
36,84,38
85,110,123
77,105,15
111,122,144
77,112,60
33,52,60
82,105,87
109,119,45
85,101,90
47,56,141
60,88,68
105,115,38
68,96,76
60,129,122
39,101,134
35,81,20
85,117,77
36,122,69
44,97,119
80,98,72
31,80,35
32,125,62
87,115,103
81,97,128
59,63,92
109,124,33
57,112,35
93,127,45
44,98,68
52,108,112
40,85,16
118,126,72
55,130,73
55,121,99
71,89,88
99,130,71
32,96,23
102,122,65
109,127,45
90,109,36
59,108,108
64,111,35
94,121,95
95,111,112
31,57,40
57,110,98
88,120,66
91,126,34
51,101,87
67,118,74
87,125,29
100,102,109
57,123,30
38,53,57
112,115,75
32,129,96
104,114,108
50,75,11
32,87,103
75,130,34
74,89,66
112,122,88
51,121,75
107,109,61
51,81,74
52,92,85
53,87,46
92,108,90
49,54,141
79,85,53
69,108,68
131,132,86
132,133,26
133,134,84
134,135,41
135,136,52
136,137,77
137,138,57
138,139,43
139,140,43
140,141,9
141,142,57
142,143,46
143,144,64
144,145,21
145,146,40
146,147,24
147,148,12
148,149,50
149,150,34
150,151,29
151,152,39
152,153,52
153,154,38
154,155,35
155,156,84
156,157,85
157,158,23
158,159,43
159,160,51
160,161,35
161,162,69
162,163,47
163,164,59
164,165,66
165,166,44
166,167,83
167,168,67
168,169,13
169,170,61
170,171,7
171,172,49
172,173,18
173,174,26
174,175,22
175,176,24
176,177,43
177,178,48
178,179,62
179,180,27
180,181,64
181,182,31
182,183,50
183,184,34
184,185,39
185,186,6
186,187,71
187,188,30
188,189,24
189,190,108
190,191,70
191,192,54
192,193,9
193,194,39
194,195,62
195,196,92
196,197,72
197,198,60
198,199,107
199,200,78
200,201,44
201,202,2
202,203,52
203,204,49
204,205,49
205,206,39
206,207,36
207,208,24
208,209,54
209,210,92
210,211,79
211,212,3
212,213,50
213,214,37
214,215,18
215,216,45
216,217,44
217,218,24
218,219,67
219,220,25
220,221,20
221,222,49
222,223,66
223,224,98
224,225,31
225,226,45
226,227,57
227,228,42
228,229,76
229,230,70
131,230,56
144,210,134
152,172,29
157,160,55
150,170,47
198,217,101
202,220,49
141,157,42
132,167,102
187,204,10
152,214,62
151,215,84
134,154,48
151,191,48
138,152,53
154,196,111
150,186,110
191,203,79
208,221,40
144,219,101
175,180,67
179,210,52
160,230,115
177,221,41
133,204,34
169,218,61
157,220,63
160,190,63
202,213,41
142,144,94
138,207,41
201,215,32
132,194,3
145,226,48
154,218,20
175,196,106
191,229,74
159,165,96
132,180,60
140,172,46
180,199,108
132,187,56
146,203,97
147,170,38
154,208,16
161,164,71
151,161,54
166,230,91
197,227,97
149,181,21
150,230,104
136,174,26
166,191,48
192,199,107
177,181,43
166,214,71
151,160,29
155,220,58
161,170,82
140,148,37
151,200,58
203,227,36
161,197,75
135,171,65
192,195,79
179,219,31
171,187,56
144,173,84
168,173,58
158,193,95
161,185,95
181,196,110
227,229,133
144,198,112
153,211,34
142,155,127
131,162,15
152,212,49
158,217,100
156,210,76
178,212,80
226,230,74
131,218,44
138,146,73
160,206,64
182,211,118
136,165,52
190,212,108
138,211,101
135,168,83
134,139,111
145,204,51
163,178,44
199,217,112
133,219,13
161,182,81
143,165,41
191,193,84
203,224,119
181,228,100
186,223,107
140,203,46
182,226,73
179,197,23
163,180,9
161,165,96
179,214,54
135,209,111
206,219,53
142,226,94
146,210,70
145,149,115
171,186,67
200,210,52
131,180,75
207,210,63
191,224,121
156,184,63
171,211,100
152,204,36
201,214,7
152,201,80
198,212,82
197,221,23
146,192,20
134,193,82
213,222,21
174,208,43
167,175,67
162,179,93
201,207,72
147,224,79
135,158,80
141,205,76
146,197,40
143,204,23
159,166,71
191,207,40
183,225,87
145,206,45
174,193,67
214,221,77
181,229,19
224,229,113
155,164,98
187,189,54
200,218,84
134,164,8
153,177,54
144,230,83
166,185,87
192,205,19
146,229,63
153,220,43
161,196,132
140,182,90
140,165,43
178,199,158
177,180,45
145,153,46
162,187,71
208,219,42
138,219,59
143,148,18
163,208,68
154,212,35
152,178,118
183,191,12
178,192,46
156,216,76
142,171,85
150,197,40
135,217,55
146,185,37
215,227,12
135,184,15
159,218,32
164,224,85
141,224,79
198,211,83
178,215,80
141,145,18
193,211,55
186,225,45
142,205,50
160,213,113
173,180,41
222,224,28
133,216,36
171,228,52
186,207,94
161,210,96
161,225,101
171,209,104
204,214,46
145,167,30
182,197,31
177,225,71
139,201,69
162,193,67
132,157,104
173,193,37
146,158,65
136,147,27
156,171,48
133,138,59
135,176,72
132,137,98
136,160,45
134,219,106
166,181,49
205,208,80
163,200,58
209,222,155
155,170,84
156,200,28
138,145,81
131,167,36
165,202,28
134,172,63
161,214,90
173,205,66
186,213,7
157,172,28
146,171,35
149,222,100
161,203,66
193,196,39
170,186,55
157,199,50
147,188,51
143,219,31
159,210,128
179,181,47
131,140,48
212,227,19
180,182,102
175,204,23
176,191,40
155,178,127
199,213,129
181,187,88
137,188,14
149,176,33
176,181,58
147,161,43
138,208,40
161,220,51
159,201,70
182,184,86
148,196,76
175,226,20
210,223,54
165,187,59
146,149,72
147,221,22
189,211,15
132,229,46
146,160,57
134,182,151
146,227,66
147,214,76
175,187,12
135,197,81
156,225,51
137,214,51
140,192,55
154,205,79
150,164,119
140,174,70
134,202,63
133,191,50
218,221,85
161,226,32
201,203,81
149,193,76
158,207,38
168,212,92
193,210,68
190,216,71
184,217,50
170,229,43
136,181,34
131,141,53
166,188,71
144,195,25
143,214,59
157,176,74
136,229,33
163,186,31
193,216,44
141,168,82
156,197,59
139,207,20
142,162,75
172,212,40
168,174,47
213,227,80
185,195,89
181,194,35
138,214,122
175,192,79
179,209,96
134,226,72
212,224,55
186,192,29
137,172,38
219,230,95
131,181,174
163,207,74
184,206,29
132,185,52
180,218,57
181,219,34
170,201,72
135,159,59
131,161,80
132,205,36
177,223,53
180,201,14
143,207,38
170,184,62
