client_id,dispatcher_id,tow_truck_id,status,node_id,car_value,completed_time,order_time
3038,5,1,completed,11,5610.69,2024-07-25T05:47:42.082403+00:00,2024-07-25T01:31:47.082074+00:00
58499,,,pending,11,2162.81,,2024-07-25T01:35:08.082063+00:00
23452,,,pending,3,2566.58,,2024-07-25T02:00:13.082060+00:00
37865,,,pending,8,1762.67,,2024-07-25T02:40:17.082071+00:00
41624,,,pending,13,8508.3,,2024-07-25T03:07:35.082070+00:00
58627,,,pending,7,7362.57,,2024-07-25T04:28:57.082068+00:00
74625,,,pending,9,7553.68,,2024-07-25T04:49:23.082065+00:00
45227,,,pending,20,7225.56,,2024-07-25T04:50:19.082072+00:00
53205,,,pending,1,1786.27,,2024-07-25T05:06:52.082067+00:00
13240,,,pending,13,4393.35,,2024-07-25T05:34:54.082048+00:00
70212,18,11,completed,23,4545.46,2024-07-25T05:47:42.084888+00:00,2024-07-25T02:18:35.084854+00:00
86719,,,pending,27,6286.32,,2024-07-25T02:37:10.084849+00:00
62896,,,pending,21,4433.65,,2024-07-25T03:01:12.084851+00:00
27583,,,pending,25,8383.21,,2024-07-25T04:03:50.084853+00:00
52173,,,pending,27,8890.8,,2024-07-25T04:30:56.084842+00:00
24073,,,pending,27,2123.04,,2024-07-25T04:31:30.084856+00:00
80647,,,pending,24,5384.42,,2024-07-25T04:59:40.084859+00:00
63208,,,pending,24,6152.21,,2024-07-25T05:14:35.084860+00:00
18212,,,pending,26,3699.48,,2024-07-25T05:19:20.084857+00:00
72237,,,pending,25,4963.89,,2024-07-25T05:35:14.084861+00:00
12805,28,16,completed,102,9830.58,2024-07-25T05:47:42.087256+00:00,2024-07-25T00:51:23.087191+00:00
19554,21,17,completed,51,4100.07,2024-07-25T05:47:42.087262+00:00,2024-07-25T00:58:06.087212+00:00
81837,24,18,completed,42,3197.57,2024-07-25T05:47:42.087268+00:00,2024-07-25T01:00:15.087214+00:00
59452,26,19,completed,55,6901.61,2024-07-25T05:47:42.087273+00:00,2024-07-25T01:12:33.087229+00:00
10761,28,20,completed,105,2499.95,2024-07-25T05:47:42.087278+00:00,2024-07-25T01:22:34.087226+00:00
25657,,,pending,45,9343.91,,2024-07-25T01:22:50.087199+00:00
56691,,,pending,113,2070.81,,2024-07-25T01:32:09.087216+00:00
27350,,,pending,102,8517.22,,2024-07-25T01:54:07.087195+00:00
68422,,,pending,83,9256.98,,2024-07-25T01:57:59.087210+00:00
61718,,,pending,65,8328.71,,2024-07-25T02:07:09.087221+00:00
21201,,,pending,62,8722.93,,2024-07-25T02:17:53.087218+00:00
90867,,,pending,102,9636.28,,2024-07-25T02:20:53.087213+00:00
12250,,,pending,107,4308.57,,2024-07-25T02:24:30.087202+00:00
73083,,,pending,51,8667.67,,2024-07-25T02:30:54.087183+00:00
4293,,,pending,93,5352.96,,2024-07-25T02:49:54.087157+00:00
24145,,,pending,88,6103.07,,2024-07-25T02:57:07.087206+00:00
60717,,,pending,69,2448.05,,2024-07-25T03:00:45.087194+00:00
92483,,,pending,105,7116.25,,2024-07-25T03:00:59.087203+00:00
10720,,,pending,65,3712.69,,2024-07-25T03:02:33.087187+00:00
21655,,,pending,92,4719.74,,2024-07-25T03:02:56.087164+00:00
22578,,,pending,114,9963.63,,2024-07-25T03:09:08.087227+00:00
19778,,,pending,40,2479.55,,2024-07-25T03:13:16.087169+00:00
26922,,,pending,69,7004.12,,2024-07-25T03:21:53.087196+00:00
50453,,,pending,84,4747.77,,2024-07-25T03:35:54.087163+00:00
49225,,,pending,88,1097.76,,2024-07-25T03:38:57.087185+00:00
23506,,,pending,93,5266.83,,2024-07-25T03:45:34.087177+00:00
12845,,,pending,36,7173.68,,2024-07-25T03:47:12.087170+00:00
8199,,,pending,58,2394.37,,2024-07-25T03:47:30.087225+00:00
72233,,,pending,35,1814.77,,2024-07-25T03:54:32.087172+00:00
51904,,,pending,65,3947.23,,2024-07-25T04:03:59.087220+00:00
26458,,,pending,98,4332.78,,2024-07-25T04:04:36.087190+00:00
68930,,,pending,98,6341.74,,2024-07-25T04:11:04.087176+00:00
99832,,,pending,120,1642.11,,2024-07-25T04:17:26.087173+00:00
86493,,,pending,61,1876.91,,2024-07-25T04:26:04.087184+00:00
37312,,,pending,47,9985.78,,2024-07-25T04:29:27.087166+00:00
61086,,,pending,59,5002.51,,2024-07-25T04:33:01.087167+00:00
97989,,,pending,104,9868.7,,2024-07-25T04:33:49.087181+00:00
55934,,,pending,50,9964.23,,2024-07-25T04:37:07.087217+00:00
14110,,,pending,49,7986.5,,2024-07-25T04:39:12.087224+00:00
58980,,,pending,86,3822.66,,2024-07-25T04:40:39.087204+00:00
2928,,,pending,71,7614.2,,2024-07-25T04:42:23.087193+00:00
46743,,,pending,127,6013.09,,2024-07-25T04:47:10.087222+00:00
36073,,,pending,114,5877.65,,2024-07-25T04:52:04.087175+00:00
31031,,,pending,74,5183.02,,2024-07-25T04:54:25.087179+00:00
31856,,,pending,58,3046.12,,2024-07-25T05:18:11.087198+00:00
16681,,,pending,38,5163.04,,2024-07-25T05:23:47.087208+00:00
29697,,,pending,107,2950.51,,2024-07-25T05:31:21.087201+00:00
64696,,,pending,110,1106.84,,2024-07-25T05:37:21.087230+00:00
2854,,,pending,52,3665.84,,2024-07-25T05:40:38.087207+00:00
59503,,,pending,106,8405.96,,2024-07-25T05:42:33.087180+00:00
73511,32,66,completed,160,1834.08,2024-07-25T05:47:42.089813+00:00,2024-07-25T01:25:18.089726+00:00
59620,38,67,completed,194,1275.74,2024-07-25T05:47:42.089821+00:00,2024-07-25T01:28:22.089727+00:00
84843,37,68,completed,213,3671.44,2024-07-25T05:47:42.089827+00:00,2024-07-25T01:39:32.089729+00:00
94997,33,69,completed,217,5328.09,2024-07-25T05:47:42.089833+00:00,2024-07-25T01:40:12.089760+00:00
52889,33,70,completed,151,9788.69,2024-07-25T05:47:42.089839+00:00,2024-07-25T01:41:00.089731+00:00
78446,,,pending,171,8170.9,,2024-07-25T01:45:45.089736+00:00
4426,,,pending,223,6050.83,,2024-07-25T01:47:17.089735+00:00
67805,,,pending,156,9896.75,,2024-07-25T01:48:59.089722+00:00
24427,,,pending,136,2471.03,,2024-07-25T01:56:52.089746+00:00
51985,,,pending,175,4725.36,,2024-07-25T02:09:56.089743+00:00
36812,,,pending,230,1504.64,,2024-07-25T02:09:57.089769+00:00
2307,,,pending,203,8543.12,,2024-07-25T02:12:03.089705+00:00
71666,,,pending,179,3244.28,,2024-07-25T02:13:19.089730+00:00
56927,,,pending,138,2904.56,,2024-07-25T02:24:49.089754+00:00
67190,,,pending,177,2222.29,,2024-07-25T02:25:40.089756+00:00
58796,,,pending,138,4499.42,,2024-07-25T02:44:43.089762+00:00
7508,,,pending,178,6867.3,,2024-07-25T02:50:34.089765+00:00
39088,,,pending,219,3279.95,,2024-07-25T02:54:43.089755+00:00
70616,,,pending,183,3293.63,,2024-07-25T02:59:22.089750+00:00
50948,,,pending,199,3011.88,,2024-07-25T03:11:24.089721+00:00
50323,,,pending,141,7332.41,,2024-07-25T03:14:22.089711+00:00
16020,,,pending,225,2782.86,,2024-07-25T03:16:12.089733+00:00
49151,,,pending,161,9826.41,,2024-07-25T03:16:37.089758+00:00
16914,,,pending,207,9367.36,,2024-07-25T03:22:00.089717+00:00
15775,,,pending,175,9310.8,,2024-07-25T03:25:34.089699+00:00
81265,,,pending,135,2661.5,,2024-07-25T03:42:16.089748+00:00
61174,,,pending,223,3329.69,,2024-07-25T04:03:23.089768+00:00
88565,,,pending,193,8961.54,,2024-07-25T04:11:06.089764+00:00
50389,,,pending,213,2789.9,,2024-07-25T04:11:15.089714+00:00
90634,,,pending,210,7337.38,,2024-07-25T04:15:15.089742+00:00
22765,,,pending,137,5303.4,,2024-07-25T04:18:51.089744+00:00
25043,,,pending,197,7066.38,,2024-07-25T04:25:58.089741+00:00
39818,,,pending,172,3261.75,,2024-07-25T04:26:52.089715+00:00
22500,,,pending,149,4498.09,,2024-07-25T04:33:43.089720+00:00
40525,,,pending,145,3341.44,,2024-07-25T04:41:45.089738+00:00
41066,,,pending,145,9311.19,,2024-07-25T04:44:38.089763+00:00
61986,,,pending,193,9888.54,,2024-07-25T04:46:20.089723+00:00
65901,,,pending,141,4006.09,,2024-07-25T04:59:56.089718+00:00
16849,,,pending,180,8373.68,,2024-07-25T05:04:22.089712+00:00
32346,,,pending,131,1807.63,,2024-07-25T05:09:26.089751+00:00
67854,,,pending,189,3818.24,,2024-07-25T05:12:00.089739+00:00
57230,,,pending,177,2025.15,,2024-07-25T05:16:11.089707+00:00
75183,,,pending,141,8327.34,,2024-07-25T05:24:51.089752+00:00
31448,,,pending,166,8875.88,,2024-07-25T05:28:04.089734+00:00
37060,,,pending,200,6481.21,,2024-07-25T05:28:09.089710+00:00
98122,,,pending,202,4670.64,,2024-07-25T05:28:14.089708+00:00
82026,,,pending,182,7737.68,,2024-07-25T05:29:59.089725+00:00
81261,,,pending,161,6300.8,,2024-07-25T05:32:03.089759+00:00
65772,,,pending,158,1706.64,,2024-07-25T05:38:11.089767+00:00
24451,,,pending,178,7535.67,,2024-07-25T05:46:47.089747+00:00
70314,49,116,completed,252,7147.03,2024-07-25T05:47:42.092788+00:00,2024-07-25T00:48:32.092539+00:00
84264,107,117,completed,1108,6677.5,2024-07-25T05:47:42.092797+00:00,2024-07-25T00:49:18.092655+00:00
53563,103,118,completed,566,7501.6,2024-07-25T05:47:42.092805+00:00,2024-07-25T00:49:53.092113+00:00
47111,89,119,completed,360,8802.56,2024-07-25T05:47:42.092813+00:00,2024-07-25T00:50:02.092251+00:00
17131,83,120,completed,923,6946.2,2024-07-25T05:47:42.092821+00:00,2024-07-25T00:51:07.092697+00:00
23736,127,121,completed,1178,3698.94,2024-07-25T05:47:42.092829+00:00,2024-07-25T00:53:11.092680+00:00
50739,131,122,completed,897,5695.62,2024-07-25T05:47:42.092837+00:00,2024-07-25T00:53:23.092138+00:00
19887,125,123,completed,493,9493.86,2024-07-25T05:47:42.092845+00:00,2024-07-25T00:53:28.092291+00:00
38899,116,124,completed,387,3630.87,2024-07-25T05:47:42.092852+00:00,2024-07-25T00:53:39.092152+00:00
26686,130,125,completed,754,9427.56,2024-07-25T05:47:42.092864+00:00,2024-07-25T00:53:57.092562+00:00
18728,77,126,completed,1164,7395.34,2024-07-25T05:47:42.092872+00:00,2024-07-25T00:54:20.092164+00:00
57418,109,127,completed,397,4398.82,2024-07-25T05:47:42.092879+00:00,2024-07-25T00:56:20.092258+00:00
62561,68,128,completed,881,6830.36,2024-07-25T05:47:42.092888+00:00,2024-07-25T00:56:34.092174+00:00
29600,56,129,completed,1030,1889.71,2024-07-25T05:47:42.092896+00:00,2024-07-25T00:57:40.092420+00:00
70627,47,130,completed,1066,3652.74,2024-07-25T05:47:42.092904+00:00,2024-07-25T00:57:40.092567+00:00
69165,110,131,completed,679,7634.73,2024-07-25T05:47:42.092912+00:00,2024-07-25T00:57:43.092492+00:00
47467,42,132,completed,1108,1736.28,2024-07-25T05:47:42.092920+00:00,2024-07-25T00:57:57.092300+00:00
29630,103,133,completed,1112,5104.71,2024-07-25T05:47:42.092928+00:00,2024-07-25T00:58:32.092343+00:00
29487,106,134,completed,791,1007.0,2024-07-25T05:47:42.092936+00:00,2024-07-25T00:59:12.092124+00:00
24461,71,135,completed,299,4464.73,2024-07-25T05:47:42.092944+00:00,2024-07-25T00:59:59.092307+00:00
16646,102,136,completed,725,5108.38,2024-07-25T05:47:42.092953+00:00,2024-07-25T01:00:24.092262+00:00
46566,89,137,completed,600,6122.15,2024-07-25T05:47:42.092961+00:00,2024-07-25T01:00:29.092234+00:00
36990,104,138,completed,761,1285.28,2024-07-25T05:47:42.092969+00:00,2024-07-25T01:00:53.092641+00:00
5090,49,139,completed,275,8230.89,2024-07-25T05:47:42.092977+00:00,2024-07-25T01:01:03.092382+00:00
2320,97,140,completed,295,4486.51,2024-07-25T05:47:42.092986+00:00,2024-07-25T01:01:38.092198+00:00
41541,94,141,completed,672,5745.91,2024-07-25T05:47:42.092994+00:00,2024-07-25T01:01:43.092482+00:00
36445,96,142,completed,400,7865.41,2024-07-25T05:47:42.093002+00:00,2024-07-25T01:02:09.092599+00:00
65090,66,143,completed,958,4261.55,2024-07-25T05:47:42.093011+00:00,2024-07-25T01:02:17.092332+00:00
72842,128,144,completed,885,5633.5,2024-07-25T05:47:42.093019+00:00,2024-07-25T01:03:11.092383+00:00
87253,115,145,completed,937,2210.27,2024-07-25T05:47:42.093028+00:00,2024-07-25T01:03:54.092240+00:00
83476,106,146,completed,1057,4695.57,2024-07-25T05:47:42.093036+00:00,2024-07-25T01:04:54.092494+00:00
77633,118,147,completed,696,8629.94,2024-07-25T05:47:42.093050+00:00,2024-07-25T01:05:09.092290+00:00
27074,140,148,completed,985,5222.25,2024-07-25T05:47:42.093059+00:00,2024-07-25T01:05:10.092289+00:00
28520,93,149,completed,1018,6255.15,2024-07-25T05:47:42.093068+00:00,2024-07-25T01:06:16.092490+00:00
76040,124,150,completed,1111,9752.62,2024-07-25T05:47:42.093076+00:00,2024-07-25T01:06:19.092636+00:00
41694,113,151,completed,1219,5605.74,2024-07-25T05:47:42.093090+00:00,2024-07-25T01:07:04.092675+00:00
32366,90,152,completed,733,4789.12,2024-07-25T05:47:42.093098+00:00,2024-07-25T01:07:37.092476+00:00
16974,81,153,completed,665,7059.73,2024-07-25T05:47:42.093107+00:00,2024-07-25T01:08:24.092499+00:00
75226,58,154,completed,524,6776.52,2024-07-25T05:47:42.093116+00:00,2024-07-25T01:08:30.092723+00:00
98117,53,155,completed,267,4865.64,2024-07-25T05:47:42.093125+00:00,2024-07-25T01:08:32.092195+00:00
20542,70,156,completed,337,1354.72,2024-07-25T05:47:42.093134+00:00,2024-07-25T01:08:59.092570+00:00
96087,84,157,completed,729,9825.05,2024-07-25T05:47:42.093142+00:00,2024-07-25T01:10:11.092129+00:00
62974,117,158,completed,1032,8441.08,2024-07-25T05:47:42.093151+00:00,2024-07-25T01:11:01.092596+00:00
64846,76,159,completed,1116,1158.92,2024-07-25T05:47:42.093160+00:00,2024-07-25T01:11:02.092205+00:00
73175,62,160,completed,351,7299.09,2024-07-25T05:47:42.093169+00:00,2024-07-25T01:11:55.092193+00:00
20958,68,161,completed,822,3868.02,2024-07-25T05:47:42.093178+00:00,2024-07-25T01:12:10.092438+00:00
94969,120,162,completed,362,7188.99,2024-07-25T05:47:42.093187+00:00,2024-07-25T01:12:26.092507+00:00
59109,120,163,completed,1132,4339.41,2024-07-25T05:47:42.093196+00:00,2024-07-25T01:13:18.092077+00:00
45830,74,164,completed,301,2636.91,2024-07-25T05:47:42.093206+00:00,2024-07-25T01:13:32.092266+00:00
26080,53,165,completed,1170,3545.11,2024-07-25T05:47:42.093215+00:00,2024-07-25T01:13:46.092610+00:00
12831,,,pending,603,2620.52,,2024-07-25T01:14:13.092144+00:00
4058,,,pending,1086,1866.43,,2024-07-25T01:14:24.092402+00:00
61890,,,pending,492,8343.43,,2024-07-25T01:14:49.092126+00:00
94050,,,pending,669,3309.79,,2024-07-25T01:15:20.092677+00:00
21794,,,pending,397,2941.88,,2024-07-25T01:16:49.092463+00:00
70586,,,pending,723,9668.18,,2024-07-25T01:17:36.092412+00:00
98316,,,pending,482,3198.53,,2024-07-25T01:19:08.092137+00:00
6894,,,pending,307,1456.96,,2024-07-25T01:19:24.092156+00:00
96680,,,pending,763,8330.33,,2024-07-25T01:19:47.092689+00:00
32988,,,pending,1191,1618.44,,2024-07-25T01:20:50.092520+00:00
24307,,,pending,370,2313.82,,2024-07-25T01:21:38.092406+00:00
96549,,,pending,483,3328.75,,2024-07-25T01:21:41.092082+00:00
78840,,,pending,683,2185.16,,2024-07-25T01:21:49.092314+00:00
78667,,,pending,991,9492.32,,2024-07-25T01:22:08.092335+00:00
76499,,,pending,431,3562.69,,2024-07-25T01:23:28.092267+00:00
28989,,,pending,1114,6805.89,,2024-07-25T01:23:35.092224+00:00
36389,,,pending,1030,8766.27,,2024-07-25T01:23:50.092336+00:00
85949,,,pending,1140,7571.76,,2024-07-25T01:23:53.092483+00:00
71857,,,pending,526,2132.23,,2024-07-25T01:24:03.092532+00:00
9363,,,pending,921,7358.85,,2024-07-25T01:24:18.092179+00:00
96701,,,pending,865,2850.69,,2024-07-25T01:24:32.092411+00:00
